Date,Time,Town / Village,Area,"Occupation
(Where Relevant)",Description
1997-01-31,20:00,York,North Yorkshire,,"Two to three UFOs circling the area. They looked like fast moving, cloud shaped objects."
1997-02-02,20:10,Chester,Cheshire,,"Orange, round object that was very bright. Was high up and made a rapid downwards descent."
1997-02-02,14:25,Selkirk,Selkirkshire,,Mirror like object. It was flickering.
1997-02-02,07:30,Caerphilly,Mid-Glamorgan,,"Cigar shaped object, with wings but no tail. Jade green in colour. White lights through windows. Moved in a straight line."
1997-02-03,21:35,Coventry,West Midlands,,"One large, triangular shaped object. Very bright, and white in colour and green at the top. It was moving North."
1997-02-03,10:52,Farringdon,Oxfordshire,,"An oval shaped object, moving very fast."
1997-02-05,08:30,Beeston/Nr Leeds,West Yorkshire,,One object that was spherical shaped. It was silver in colour and very shiny and bright. It remained steady and then disappeared.
1997-02-06,23:30,Manchester,Greater Manchester,,"Disc shaped objects were seen. They were surrounded by lights. A Droning noise was heard. One shot off, but returned later with another identical object."
1997-02-07,08:05,Bathgate/Falkirk,Central,,"One object, like a vapour trail, (but too low down). White, but not bright. Not very fast."
1997-02-08,18:37,Southend to London,Essex,,"Two strange, white lights surrouned by coloured lights. Then two more lots of lights appeared. They were moving slowly towards London."
1997-02-08,19:30,Cross Green/Leeds,West Yorkshire,,"One object, round shaped, consisting of a large, bright light. It was moving from East to West."
1997-02-09,19:00,Mons Mill/Todmorden,West Yorkshire,,The object was spherical in shape. Was a solid blue colour in the centre. It was moving in a Westerly direction.
1997-02-09,19:00,,,,A very bright meteorite or space debris.
1997-02-10,23:00,Near Plymouth,Devon,,"A round, deep, red object. It was not lit up and didn't have any lights. It was moving from West to East and was very high. 4-5 times faster than an airliner."
1997-02-10,09:35,Barry,Glamorgan,,One oblong object. It was red in the centre and had up to fifteen lights. There was constant movement.
1997-02-14,15:10,Maidstone,Kent,,"Two, small, triangular shaped objects. Black in colour. The objects were heading North and then disappeared into cloud."
1997-02-14,07:45,Stretham,London,,One airship shaped object. It was black. It was drifting smoothly.
1997-02-14,08:15,Roath/Cardiff,Glamorgan,,"One, triangular shaped object. A shiny, golden colour. It was moving in a straight line and was fast."
1997-02-15,23:00,Westbury,Wiltshire,,The object was believed to have landed on top of the Westbury White Horse Beauty Spot in Wiltshire.
1997-02-18,22:06,A449/Llanwern/Newport,Monmouthshire,,There was a cream coloured light.
1997-02-27,21:00,Gloucester,Gloucestershire,,"Five round, glowing objects. They were moving up and down and side to side, and were quite fast."
1997-02-23,19:20,Chelsea,London,,"One, very large, oblong shaped object.Yellowy/blue in colour. The object was stationary."
1997-02-26,21:45,A346/Nr Marlborough,Wiltshire,,"One object, green in colour and about 200 feet in the air. It had a very, long, green tail behind it."
1997-03-05,02:30,East Winch/Kings Lynn,Norfolk,,"White light, not unlike A/C landing light, with a faint beam or trail. Was stationary and then there was some movement."
1997-03-05,21:00,Edale/Lake District,Derbyshire,,"Triangular shaped object. It was green/yellow in colour and had pulsing lights. It made rapid, jerky movements and moved position."
1997-03-05,23:00,East Woodford,London,,"One object, similar to aircraft size, but triangular shaped. It was light in the centre, but the rest was dim white. Moved left/right, and stop/started."
1997-03-05,22:35,Enfield,Middlesex,,"A pink/red, round object. A bit came off the side and fell down. The object was flying in a North Westerly direction."
1997-03-06,18:30,Crondall,Surrey,,The object was at an angle. It was round with a dome on top. It had lights all around and internal lights. It was stationary and then hovered.
1997-03-08,07:10,Childwall/Liverpool,Merseyside,,"One object, car headlight size. Was white and very bright."
1997-03-08,19:05,Ayr,Ayrshire,,The object was like a star with a tail. There was a glow all around it. It was stationary.
1997-03-08,05:30,Salford,Greater Manchester,,Two objects. One was solid and charcoal grey and the other was more like a bright light. They zig zagged and then moved away vertically.
1997-03-09,03:45,Southend Beach,Essex,,"A metallic blue object. It hovered above the sea, and then crashed into it."
1997-03-10,03:45,Llanfair Caereinion,Powys,,A round ball with a tail. Was like a torch with a flare. There was no movement.
1997-03-11,20:26,Lynas-Wal/Llaneilian,Isle of Anglesey,,One object with white and red lights.
1997-03-12,19:30,Montrose,Tayside,,"One, round, very bright object, with static beams shining down."
1997-03-12,20:45,M40/Gaydon,Warwickshire,,"Five, pure white lights. They were very fast, and went from horizon to horizon in two-three seconds."
1997-03-13,20:50,Warwick,Warwickshire,,One huge big circle of bright white light. Was high in the sky and was circling around.
1997-03-15,20:30,A483/Wrexham-Newtown,Denbighshire,,"One, large, oval, white and very bright object. The object was straight and level and was moving parallel with the car."
1997-03-18,23:20,Elgin,Morayshire,,Three lights. Then there was a blue flash about 500ft up.
1997-03-18,04:00,Kingstanding/Birmingham,West Midlands,,"One large, triangle shaped object. Lit up blue. 200 ft in length. A very bright light in each corner. Hovered, then shot off. Left a substance of which he has some in a jam jar."
1997-03-19,08:40,Birmingham Airport,West Midlands,,A small object that was moving very strangely.
1997-03-19,21:50,Kidderminster,Worcestershire,,"One, large, cigar shaped object, with four individual red/green lights. Very bright. Was moving very slowly and moving from left to right."
1997-03-19,21:15,Stoke-on-Trent,Staffordshire,,"One large, round, white object. It was larger than aircraft lights. Very bright."
1997-03-20,06:00,Coventry Airport,West Midlands,,"Saucer shaped object, like a dull grey cloud. It was moving slowly, but faster than a cloud."
1997-03-21,22:31,Crawley,West Sussex,,"A peculiar object, that looked like a flock of birds, with a hole in the middle, leaving a vapour trail across the sky. Had orange lights around it."
1997-03-27,20:40,Bedworth,Warwickshire,,"Two objects were side by side. They were white and very bright. During the incident, the car radio was producing static."
1997-03-28,20:00,A70/Edinburgh,Fife,,"Two, very large, round objects. Larger than aircraft lights. White and very bright. They were in line with each other. Were moving Northwards."
1997-03-28,19:43,Manchester,Greater Manchester,,One object. Dark black and a triangular shape. Small red light on the nose. Two white lights on the edges that were flashing.
1997-03-29,,Southport,Lancashire,,A triangular object. Was hovering off of the coast.
1997-03-29,,Burslem/Stoke-on-Trent,Staffordshire,,"Three objects (lights), that were orange/red in colour. Were 500 yards apart of each other. They were moving from left to right."
1997-03-30,22:30,Wigan,Greater Manchester,,The object was a similar size and shape as a star. Blue and white in colour. It occasionally changed to red. It twinkled.
1997-03-31,22:00,Didcot/Oxford,Oxfordshire,,"Lights in the sky, which were white, then green, red and blue. Was stationary and then moved from left to right."
1997-03-31,18:50,Wythall/Nr Birmingham,West Midlands,,"One jumbo sized, missile shaped object. Very long. Had fins at rear. White, with an amber glow at the rear. Engine noise. Straight and level."
1997-03-31,23:45,Hemel Hempstead,Hertfordshire,,"An object with pieces of fire coming off of it. It was moving fast through the sky, and the witness thought that it may crash."
1997-04-01,20:05,Hanwell,London,,"One, round object. Very bright. It was slow."
1997-04-01,20:00,Notting Hill Gate,London,,"An orange blob, with a long fiery trail from the top, and twenty times longer than wide. Like a hot air balloon coming down, leaving a trail."
1997-04-07,20:50,East Grinstead,West Sussex,,One star shaped object. White and bright. Travelling in a direct line and was exceptionally fast.
1997-04-08,09:01,Penycae,Denbighshire,,An object was moving in 90 degree angles. It sped up and then slowed down.
1997-04-08,21:00,Wallington,Surrey,,"One object, like a dot of light. White and fairly bright. Was vertical. Moved very fast."
1997-04-08,21:30,Over Isle of Arran,Isle of Arran,,"A circular ball of light, which changed to green and then red in colour. It travelled horizontally across the sky."
1997-04-09,09:15,Lowestoft,Suffolk,,"A bright, white light, which had a circle of lights and a triangle in the middle, and also, three large, mauve/blue spots. It hovered, then shot off to the West."
1997-04-09,20:30,Elland,West Yorkshire,,"Three objects, green in colour. Horizontal - and approximately the size of traffic lights. Were steady and going from West to East."
1997-04-10,18:24,Aylesbury,Buckinghamshire,,"A sequence of flashing lights, which changed colour - red, blue, green and white."
1997-04-10,04:30,Brighton,East Sussex,,Bright light which was green. It had a purple haze. It moved in a straight line and was low in the sky and slow. Very quiet.
1997-04-11,21:45,West Parley/Ferndown,Dorset,,"A saucer shaped object. Had red and blue lights on it. It was hovering silently, and then disappeared behind trees."
1997-04-12,15:45,Warminster,Wiltshire,,"A dish shaped, very shiny metallic object. 15-20 metres in diameter. 5-6 metres deep. It moved slowly and then sped off."
1997-04-13,21:30,Erith,Kent,,"One, round shaped object. Very bright. It was white in colour, then turned to a red dot and sped off."
1997-04-13,22:00,Penarth Marina,South Glamorgan,,There were two identically sized crafts. Extremely bright and both an obscured shape. They oscillated in an eliptical pattern.
1997-04-14,00:45,Thornley Bank,County Durham,,"One, bell shaped object. It had one red light and one bright, white light. It was moving across the sky from West to East."
1997-04-15,21:15,Chichester,Hampshire,,One triangular shaped object. It was light yellow at the front and the rest was black. It moved sideways then stopped. It disappeared at speed.
1997-04-15,20:00,Lower Morden/Wimbledon,Surrey,,One object that was saucer shaped. Was white/orange in colour and very bright.
1997-04-16,21:30,Paignton,Devon,,"One object, like a star, but larger. Star coloured and very bright. It was moving very fast."
1997-04-17,00:08,Datchet/Slough,Surrey,,"Two round, white lights. They were performing circles."
1997-04-17,21:30,Ramsey,Cambridgeshire,,"Red, white and blue lights in a triangle shape, were flying across the sky."
1997-04-18,,Dublin/Amsterdam,,Airline crew,An unidentified flying object was seen.
1997-04-22,19:50,Bristol,Somerset,,"Two-five disc like objects. Green on left and yellow on the right. They were bright. Were moving, dropping and then re-appearing in the sky."
1997-04-22,21:55,Andover,Hampshire,,"A very large, grey object, with red, blue and green lights. There was a very loud humming noise. It came lower and nearer to the witness."
1997-04-30,12:45,Liverpool,Merseyside,,Two objects. The first one was disk shaped and the second one was cigar shaped. Both were black. They were slow moving.
1997-04-30,12:40,Birmingham Airport,Merseyside,,"A bright object rose from a roof top vertically, to a great height. It was a flat elongated shape and appeared to be grey inside."
1997-05-01,03:56,Cathays/Cardiff,South Glamorgan,,One round object with lights. There was one medium constant light.There was an unusual noise. It made erratic jerky movements.
1997-05-04,04:00,Epping,Essex,,"One round object, 15 ft in diameter. Was emitting 7 or 8 green lights downwards. Quite bright. There was steady movement."
1997-05-04,22:00,Worcester,Worcestershire,,"One object, the size of the North Star. Round and orange and yellow in colour. Quite bright. Was stationary and then there was steady movement."
1997-05-05,09:40,Maidstone,Kent,,One round shaped object. Green in colour and was very bright. It was very fast.
1997-05-07,03:00,Edinburgh,Fife,,Diamond shaped object. Yellow and white in colour and was flashing. It was darting around the sky.
1997-05-07,00:00,Calne,Wiltshire,,"One, triangular shaped object. The size of a small light aircraft. Was very bright. It made a sort of a buzzing noise. The object followed the witness."
1997-05-11,20:05,Looe,Cornwall,,One cube shaped object. Was the size of a micro light aircraft. Was black in colour. It moved straight across the sky.
1997-05-14,23:30,Witney,Oxfordshire,,"One very large star, with a slight beam, twinkled all different colours. It hovered back and forth for about 1 and a half hours."
1997-05-15,01:40,Bathgate,West Lothian,,Cylindrical object. Was slow moving.
1997-05-15,23:59,Runcorn,Cheshire,,"15-20, tail shaped objects, making snaking movements like a tail on a kids kite across the sky. They were orange and very bright."
1997-05-19,23:17,Bromley,Kent,,"One round shaped object, double the size of a star. White (pale), but very bright. It was stationary for a while and then travelled straight and level."
1997-05-21,00:45,Bradford-on-Avon,Wiltshire,,Blue flashing lights with no shape. There was a strange noise that woke the witness. The flight was straight and the lights were moving North.
1997-05-22,23:10,Abergavenny,Monmouthshire,,"One large, triangular shaped object. Black in colour. Was moving to the West."
1997-05-23,23:30,Zennor,Cornwall,,"A brilliant white light, travelling at alternating speeds. It disappeared and then minutes later, the same light came from an egg shaped object, that was hovering."
1997-05-27,04:20,Gorseinon nr Swansea,West Glamorgan,,"One round object. Yellow in colour, bright and shimmering. It was moving from left to right."
1997-05-29,23:55,,Suffolk,,"10-20 lights in the sky. The objects were flashing red, orange and green like traffic lights. They were stationary and silent."
1997-05-29,20:58,Harpenden,Hertfordshire,,"One short object, like an aircraft and trail. Was white and very bright. Stationary, then moved to the North from the South. It disappeared instantly."
1997-05-30,00:20,Hatfield Woodhouse,South Yorkshire,,"Large object, helmet shaped. Had bright, white lights on the underside, and was completely silent. Was moving slowly and then sped off."
1997-05-30,10:57,Wrexham,Denbighshire,,"One object, with one light on the front. About 450 ft up. It moved West and picked up speed."
1997-05-31,,Wandsworth,London,,"One large, star like object. White in colour. Was moving slow from North to South."
1997-05-31,22:55,Barton/Torquay,Devon,,"A ball of white light slowly moving across the sky. Through binoculars, there was a white globe of light."
1997-05-31,12:05,Wokingham,Berkshire,,"An intense white, flashing light. It was drifting slowly overhead due West."
1997-06-02,03:00,Arran,The Isle of Arran,,"A bright star like shaped object, changing into an eliptical shape. It was rising slowly."
1997-06-02,02:20,Scunthorpe,Lincolnshire,,A big red dome with a bright red light. There were then white lights. It moved in a straight line.
1997-06-02,06:00,Bognor Regis,West Sussex,,A solid round ball - approximately 100 ft in diameter. It changed colour from dark red to black. A beam of light came from the object on to the witness.
1997-06-03,22:18,Kilmarnock,East Ayrshire,,A small intense ball of light. White in colour. It was travelling in a straight line and then made erratic movements and moved East.
1997-06-04,02:07,Kettley/Telford,Shropshire,,"A circular object, with four of five lights around the perimeter. It travelled slowly to the North."
1997-06-06,16:18,Gwernaffield/nr Mold,Flintshire,,"A round, black object was travelling across the sky at speed. There appeared to be something draping from the bottom."
1997-06-06,11:25,Woodley/Reading,Berkshire,,"Numerous, ball shaped, white lights. They were very bright. They were high in the sky, rapid, moving horizontal and round and round and up and down."
1997-06-08,00:20,Sandown,Berkshire,,"Two, round shaped objects. One had a white, steady light, and the other had a flashing white light. Both very bright. They moved South East."
1997-06-09,01:22,Canvey Island,Essex,,A solid white line.
1997-06-09,22:35,Calne,Wiltshire,,"One cylindrical/cigar shaped object. Was bright white. It made a rocket noise and was very loud. Very close, was horizontal and moved very fast."
1997-06-09,22:25,Tore,Ross-shire,,"One object, that looked like a saucer shape and then a comet with a tail. It was very bright orange and shining."
1997-06-09,10:50,Nr Ilkley,West Yorkshire,,"A cigar shaped object was travelling from North to South. It was silver/blue in colour. It was about 20,000 ft up."
1997-06-09,,Otley,West Yorkshire,,A long cylindrical shaped object. Was silvery white in colour and extremely bright.
1997-06-09,11:00,Otley,West Yorkshire,,"A long, cigar/oval shaped object. It was a dark grey/silver colour, when moving. When stationary, the silver colour became bright."
1997-06-09,00:30,Chesterfield,Derbyshire,,"There were five lights in a star shape, at an angle of 20 degrees, which were rotating and changing colour. The lights also appeared to pulsate."
1997-06-11,12:22,,,,"A man/alien walked in and layed on the witnesses quilt, then whooshed through the window."
1997-06-11,11:30,Isle of Wight,Hampshire,,Lights were seen over the Isle of Wight.
1997-06-10,00:04,Newhaven,East Sussex,,A big ball of white light was moving in a South Westerly direction. It then disappeared into nothing.
1997-06-14,09:30,Luton,Bedfordshire,,"One small plane sized, round shaped object. It was black (tar), in colour. It was stationary and then shot directly upwards in the sky."
1997-06-15,21:00,Brierly Hill,West Midlands,,A group of about twelve white lights. They were moving West. They were fast.
1997-06-15,01:30,Bishops Waltham,Hampshire,,"One, then many objects, that were brighter than a normal star. They were elongated and had white flashing lights. Were very bright."
1997-06-16,01:45,Hartley,Kent,,One object that was balloon shaped. Was orange in colour and moving low in the sky.
1997-06-16,02:36,,West Midlands,,"Solid, silver objects seen below cloud level."
1997-06-16,,Dumfries,Dumfriesshire,,"A metallic object was seen. A blue, green and yellow light came from it. It was very bright."
1997-06-04,02:07,Kettley Bank/Telford,Shropshire,,"A circular shaped object, with 4 - 5 lights on it's perimeter. It travelled in a Northerly direction."
1997-06-12,14:00,,West Sussex,,A UFO was seen. It was 100 ft high in the sky. It was a circular shape and had three lights on it. It moved quite slowly.
1997-06-17,22:30,Clitheroe,Lancashire,,"One round, very bright object. It was moving from East to West and going very fast."
1997-06-18,21:35,Northallerton,North Yorkshire,,"One object, the size of a small civil airliner. It was moving to the East. Looked like the object took a sidestep to the right."
1997-06-21,,Penrith,Cumbria,,"One object, the shape of a star and the brightness of a star. It moved fast, and then stopped and then sped off."
1997-06-23,22:35,Hythe/Southampton,Hampshire,,The object was oblong shaped and had lights. It moved too fast for an aircraft.
1997-06-22,22:10,Malmesbury,Wiltshire,,One very large object. It was orange/yellow in colour and very bright. It shot up into the sky.
1997-06-22,01:00,Carlisle,Cumbria,,"Three extremely bright lights, that then moved to form a huge triangle. The lights were of a similar brightness to a welding torch."
1997-06-25,02:20,,West Lothian,,"One barbeque shaped object. Had green and white still lights on it. Was very low, about a house and a half away."
1997-06-28,01:00,Troon,South Ayrshire,,"Segments of pale blue lights in a circle. It was stationary, then lights vanished and reappeared again."
1997-06-30,23:20,Norwich,Norfolk,,"One object, that appeared to be triangular or diamond shaped. Orange in colour and very dull. Was circling and moved away quickly and disappeared."
1997-06-30,21:00,Roydon,Essex,,"A vague shape of an aircraft getting bigger. Looked like a light too. It got closer, then stopped, then started moving again."
1997-07-01,01:00,Exeter,Devon,,"Two triangular shaped lights, one above the other could be seen."
1997-07-01,06:48,Haughmond/Shrewsbury,Shropshire,,There were two UFOs travelling at some speed. They looked like two bright discs.
1997-07-01,08:30,Oakengates/Telford,Shropshire,,Two bright lights were seen at 5000 ft. They were stationary for a short time and then they disappeared.
1997-07-03,12:30,Swindon,Wiltshire,,"Green balloons, that looked a bit like hot air balloons. They were quite bright. Were travelling East and at the speed of a helicopter."
1997-07-03,,Nr North Weald Airfield,Essex,,"One large, oval shaped object. It had 12 white lights surrounding it. Very bright. It moved very fast."
1997-07-04,18:30,Bracknell,Berkshire,,Seven orange zig zags of light in the sky. They moved very fast in a zig zag formation and whooshed into clouds and disappeared.
1997-07-05,21:00,Fratton/Portsmouth,Hampshire,,"Fourteen objects, some red, some white, at different stages. Nine more in a triangular shape. There were different sounds coming from the objects."
1997-07-05,22:15,Maesycoed/Pontypridd,Mid Glamorgan,,A triangular object. Had multicoloured flashing lights. It hovered and then shot off in an Easterly direction at high speed.
1997-07-05,20:30,Ipswich,Suffolk,,"One black, balloon shaped object. It was small, but high up in the sky. Was climbing and travelling Northwest and was moving very fast."
1997-07-05,01:00,Wrexham,Denbighshire,,"A large, round object, as big as a house. It had a cluster of lights within it. It was pulsating left and right, as if on a pivot."
1997-07-05,11:30,Ducklington Village/Oxford,Oxfordshire,,Object was a round shape. It appeared to be static. Was black in colour and there were no lights visible.
1997-07-05,22:08,Mexborough,West Yorkshire,,"One, triangular shaped object. Height of object was about 2000 ft. Object travelled slowly, hovered and then changed direction sharply."
1997-07-06,23:00,Skegness,Lincolnshire,,"A bright, star shaped object. It had sparkling red, green, blue and white lights. It made erratic movements and slowly moved to the South."
1997-07-06,17:30,Mossley,Lancashire,,"A long silver rod, with a red box at the rear. Was very bright. Was moving in a straight line."
1997-07-07,23:05,Skegness,Lincolnshire,,A bright light. It wasn't moving.
1997-07-08,22:10,Llay/Wrexham,Denbighshire,,"One object, with four lights. All yellow/orange in colour. It moved to the North, then turned to it's original position, then disappeared."
1997-07-08,21:15,Worthing,West Sussex,,A bright orange ball with a tail. Was high in the sky and was stationary.
1997-07-08,23:45,Lerwick,Shetland Islands,,"A round light, the size of a five pence piece through binoculars. Was moving East."
1997-07-08,03:15,Waltham Abbey,Essex,,One light with three flashing lights on the side. It moved around erratically.
1997-07-09,09:10,Haverhill,Cambridgeshire,,"An orange, disc like object. It disappeared at high speed."
1997-07-09,09:30,Nr Great Dunmow,Essex,,"A bright, white light that was comet shaped with a tail. There was a red glow on the forked tail. It was moving towards the horizon."
1997-07-09,23:40,Stamford,Cambridgeshire,,"One object, the size and round shape of a Met balloon. It was a dark colour, but had an orange glow behind it. Was stationary and then climbed vertically."
1997-07-09,23:15,A38 nr Lichfield,Staffordshire,,"White lights, with five or six flashing. They changed shape. They were round and very bright and disappeared and reappeared."
1997-07-09,22:45,Okehampton,Devon,,"There was a vertical orange line in the sky. It varied in thickness and at the bottom, was an orange ball."
1997-07-09,01:20,Longhamborough,Oxfordshire,,"There were two orange objects. Two red lights were also seen. Directly behind it, was a cigar shaped object."
1997-07-10,20:00,New Romney,Kent,,"Two objects. Orange, green and red colours. The object was flashing. It was static."
1997-07-10,21:45,A350 Broadstone,Dorset,,"One object. It had two wings, but no fuselage. Was black in colour. Was heading in a North Easterly direction."
1997-07-11,00:10,Swindon,Wiltshire,,"Two, possibly three lights. Sometimes looked like fireworks or stars. All fairly bright. The lights were going round in tiny little circles."
1997-07-13,12:48,A65 Ingleton,North Yorkshire,,"An enormous tube in the sky, perhaps half a mile long and quarter of a mile wide. The shape was made up of a mass of small dots."
1997-07-13,23:55,Forfar,Angus,,"A small, spherical object. It changed colour from yellow to white. Was fast moving and made a 'fizzing' sound, like a small meteorite."
1997-07-16,02:30,Burton-on-Trent,Staffordshire,,"Two large, triangular shaped objects. There was a multitude of lights that were large and changing pattern. One object came vertically down and hovered."
1997-07-17,10:20,Brighton,East Sussex,,"Two objects. They were white and green in colour, and made a booming noise. They were moving from West to East and faster than a plane."
1997-07-18,02:00,Falkirk,Stirlingshire,,Two white lights in parallel. They were stationary.
1997-07-18,19:40,Preston,Lancashire,,"One, circular shaped object. The top was shining, but the bottom was dark. Was moving from North to South."
1997-07-19,21:30,Bayston Hill/Shrewsbury,Shropshire,,"One airborne craft, very high. Was white in colour and bright. It was flying straight and level from East to West."
1997-07-19,04:15,,London,,One cigar shaped object. Had one bright light. The object was moving South.
1997-07-19,15:00,Crawfoot/Glasgow,Lanarkshire,,A slow moving disc shaped object. It was wavering. It then disappeared into cloud cover.
1997-07-19,21:30,Redditch,Worcestershire,,"One large, cigar shaped object. There were three lights at the front of the shape. White in colour and very bright. Moved up and across and was slow moving."
1997-07-20,23:00,Marlborough,Wiltshire,,"Two orange, circular shaped objects. Like a tennis ball at arms length. They were at a low angle and were stationary."
1997-07-21,15:45,Beith,North Ayrshire,,"A rectangular shaped object of shiny metal. Bright white too. It appeared to be dropping, then disappeared below the horizon out of sight."
1997-07-21,21:50,Sturry/Nr Canterbury,Kent,,Orange diffused light. Was slow moving.
1997-07-21,02:35,Bolton on Dearne,South Yorkshire,,"A semi circular object, made up of four or five circular lights constantly illuminated. A red light appeared to revolve around the semi circular shape."
1997-07-22,22:00,Sandhurst,Berkshire,,"One circular shaped object, smaller than the moon. Was orange and very bright. It was moving due South."
1997-07-22,23:00,Queensferry,Fife,,"One object, larger than an aircraft. Very bright light which was like a 'V' shape. 7-8 lights each side. Was moving to the North West."
1997-07-22,20:45,Langley Mill,Derbyshire,,"An object, which had green, blue, red and silver lights. Lights were not flashing. The lights went off and a large gold coloured light came on for a few seconds."
1997-07-22,14:00,Kilwinning,Ayrshire,,A misty sphere. It was silvery grey in colour. Four or five stars looked linked to it. It was stationary at first and then started to hover.
1997-07-23,23:30,Holland Park,London,,"A small, well defined light. It was moving from the West to the East."
1997-07-25,00:45,Rochester,Kent,,"Nine to twelve, round white lights. They were moving rapidly and appeared to collide."
1997-07-25,19:30,Humber Bridge/Hessle,East Yorkshire,,"A silver, cigar shaped object. It had sharp pointed wings, with a red light on one side, and one green light on the other. It hovered at first and then moved off quickly."
1997-07-25,21:40,Huddersfield,West Yorkshire,,"One, round shaped object. Was white and red in colour. The object was stationary."
1997-07-25,22:30,Great Driffield,Humberside,,"One round shaped object. It was flashing green, blue and yellow. It was seen due North."
1997-07-26,23:30,Farnham,Surrey,,"One object, that was white in the centre. It had a faint brightness. It moved due North and then was stationary."
1997-07-26,01:00,Croydon,Surrey,,"One blue, white and grey object. Was a big swirl like a dust storm, then a circle within a circle, like a gas ring. The centre was transparent then changed into a straight line."
1997-07-26,23:59,A14,Cambridgeshire,,Looked like a laser beam in the sky. The witness followed the light for about 10 miles in the car.
